reshte,university,zaman,image
کاردانی کامپیوتر نرم افزار,دانشگاه ملی مهارت - سروش,مهر 1400 - تیر 1402,media/daneshgah/sorosh-removebg-preview_sKRN1C2.png
کارشناسی مهندسی حرفه ای نرم افزار کامپیوتر,دانشگاه ملی مهارت - مهاجر,بهمن 1402 - مرداد 1405,media/daneshgah/meli-maharat_sPXZsef.webp
